1,"hide new secretions from the parental units ",0,"[0, 1]"
1,"contains no wit , only labored gags ",0,"[0, 1]"
1,"that loves its characters and communicates something rather beautiful about human nature ",1,"[0, 1]"
1,"remains utterly satisfied to remain the same throughout ",0,"[0, 1]"
1,"on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ",0,"[0, 1]"
1,"that 's far too tragic to merit such superficial treatment ",0,"[0, 1]"
1,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,"[0, 1]"
1,"of saucy ",1,"[0, 1]"
1,"a depressed fifteen-year-old 's suicidal poetry ",0,"[0, 1]"
1,"are more deeply thought through than in most ` right-thinking ' films ",1,"[0, 1]"
2,"goes to absurd lengths ",0,"[2, 3]"
2,"for those moviegoers who complain that ` they do n't make movies like they used to anymore ",0,"[2, 3]"
2,"the part where nothing 's happening , ",0,"[2, 3]"
2,"saw how bad this movie was ",0,"[2, 3]"
2,"lend some dignity to a dumb story ",0,"[2, 3]"
2,"the greatest musicians ",1,"[2, 3]"
2,"cold movie ",0,"[2, 3]"
2,"with his usual intelligence and subtlety ",1,"[2, 3]"
2,"redundant concept ",0,"[2, 3]"
2,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,"[2, 3]"
3,"equals the original and in some ways even betters it ",1,"[4, 5]"
3,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,"[4, 5]"
3,"a smile on your face ",1,"[4, 5]"
3,"comes from the brave , uninhibited performances ",1,"[4, 5]"
3,"excruciatingly unfunny and pitifully unromantic ",0,"[4, 5]"
3,"enriched by an imaginatively mixed cast of antic spirits ",1,"[4, 5]"
3,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,"[4, 5]"
3,"in world cinema ",1,"[4, 5]"
3,"very good viewing alternative ",1,"[4, 5]"
3,"the plot is nothing but boilerplate clichés from start to finish , ",0,"[4, 5]"
4,"the action is stilted ",0,"[6]"
4,"on all cylinders ",1,"[6]"
4,"will find little of interest in this film , which is often preachy and poorly acted ",0,"[6]"
